rust_path	candidates	matched_candidate	upstream_hits	docstring_parity	initial_verdict	final_verdict	notes
crates/consensus/src/chain_selection.rs	chain_selection|selection	-	-	no	no_candidate_match	(c-needed) NO_MIRROR_NEEDS_DOCSTRING (auto: no upstream + no docstring)	needs `## Naming parity` block in Phase B or rename if a sibling upstream exists
crates/consensus/src/chain_state.rs	chain_state|state	state	.reference-haskell-cardano-node/deps/cardano-ledger/eras/allegra/impl/src/Cardano/Ledger/Allegra/State.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/alonzo/impl/src/Cardano/Ledger/Alonzo/State.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/babbage/impl/src/Cardano/Ledger/Babbage/State.hs...	no	candidate_match	(NEEDS-REVIEW) 6 affinity-filtered hits of 18 production	first 3: .reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus/src/ouroboros-consensus/Ouroboros/Consensus/HardFork/Combinator/State.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus/src/ouroboros-consensus/Ouroboros/Consensus/MiniProtocol/ChainSync/Client/State.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus/src/ouroboros-consensus/Ouroboros/Consensus/Protocol/PBFT/State.hs
crates/consensus/src/diffusion_pipelining/identity.rs	identity	identity	.reference-haskell-cardano-node/deps/plutus/plutus-metatheory/src/MAlonzo/Code/Function/Construct/Identity.hs	yes(unspecified)	candidate_match	(c) NO_MIRROR_NEEDS_DOCSTRING (auto: docstring present (unspecified))	verified at audit time; `## Naming parity` block declares synthesis story
crates/consensus/src/diffusion_pipelining/state.rs	state	state	.reference-haskell-cardano-node/deps/cardano-ledger/eras/allegra/impl/src/Cardano/Ledger/Allegra/State.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/alonzo/impl/src/Cardano/Ledger/Alonzo/State.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/babbage/impl/src/Cardano/Ledger/Babbage/State.hs...	yes(unspecified)	candidate_match	(c) NO_MIRROR_NEEDS_DOCSTRING (auto: docstring present (unspecified))	verified at audit time; `## Naming parity` block declares synthesis story
crates/consensus/src/diffusion_pipelining.rs	diffusion_pipelining|pipelining	diffusion_pipelining	.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus-cardano/src/shelley/Ouroboros/Consensus/Shelley/Node/DiffusionPipelining.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus-cardano/test/cardano-test/Test/Consensus/Cardano/DiffusionPipelining.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus/src/ouroboros-consensus/Ouroboros/Consensus/HardFork/Combinator/Node/DiffusionPipelining.hs...	yes(strict-none)	candidate_match	(c) NO_MIRROR_NEEDS_DOCSTRING (auto: docstring present (strict-none))	verified at audit time; `## Naming parity` block declares synthesis story
crates/consensus/src/epoch.rs	epoch	epoch	.reference-haskell-cardano-node/deps/cardano-ledger/eras/byron/chain/executable-spec/src/Byron/Spec/Chain/STS/Rule/Epoch.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/conway/impl/src/Cardano/Ledger/Conway/Rules/Epoch.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/shelley/impl/src/Cardano/Ledger/Shelley/Rules/Epoch.hs...	no	candidate_match	(NEEDS-REVIEW) 3 affinity-filtered hits of 3 production	first 3: .reference-haskell-cardano-node/deps/cardano-ledger/eras/byron/chain/executable-spec/src/Byron/Spec/Chain/STS/Rule/Epoch.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/conway/impl/src/Cardano/Ledger/Conway/Rules/Epoch.hs;.reference-haskell-cardano-node/deps/cardano-ledger/eras/shelley/impl/src/Cardano/Ledger/Shelley/Rules/Epoch.hs
crates/consensus/src/error.rs	error	error	.reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Crypto/BLS12_381/Error.hs;.reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Error.hs;.reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Evaluation/Error.hs...	no	candidate_match	(NEEDS-REVIEW) 6 affinity-filtered hits of 6 production	first 3: .reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Crypto/BLS12_381/Error.hs;.reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Error.hs;.reference-haskell-cardano-node/deps/plutus/plutus-core/plutus-core/src/PlutusCore/Evaluation/Error.hs
crates/consensus/src/genesis_density.rs	genesis_density|density	-	-	no	no_candidate_match	(c-needed) NO_MIRROR_NEEDS_DOCSTRING (auto: no upstream + no docstring)	needs `## Naming parity` block in Phase B or rename if a sibling upstream exists
crates/consensus/src/header.rs	header	header	.reference-haskell-cardano-node/deps/cardano-ledger/eras/byron/ledger/impl/src/Cardano/Chain/Block/Header.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus-protocol/src/ouroboros-consensus-protocol/Ouroboros/Consensus/Protocol/Praos/Header.hs;.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus-protocol/src/unstable-protocol-testlib/Test/Ouroboros/Consensus/Protocol/Praos/Header.hs...	no	candidate_match	(a) DIRECT_MIRROR (auto (affinity-filtered))	canonical hit: .reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus-protocol/src/ouroboros-consensus-protocol/Ouroboros/Consensus/Protocol/Praos/Header.hs
crates/consensus/src/in_future.rs	in_future|future	future	.reference-haskell-cardano-node/deps/ouroboros-consensus/ouroboros-consensus/src/unstable-consensus-testlib/Test/Util/HardFork/Future.hs	no	candidate_match	(NEEDS-REVIEW) all candidate hits are in non-production trees	raw hits all under test/bench/demo/etc.
